PARTICIPANT|SENTNUM|SENTENCE|CODE|COMPILED
EBA1_PRE_CB_Sarb_6_317_Essays_03237_F|8|Also if its winter or fall the rates lower.|nd|7 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03237_F|9|If its high one it higher like summer or spring.|nd|7 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03237_F|10|By this time now the corals are going to turn white because its getting colder.|nd|7 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03237_F|11|In conclusion, the stuff that bleaches corals are losing algae.|7 - 50|7 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03237_F|12|That might happen in fall or winter time because the sun gives salt to the algae for them to eat.|nd|7 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03237_F|13|So they would die if they didn?t get sun.|nd|7 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03237_F|14|Also, the rates change in different times because every day not 89-67 degrees.|nd|7 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03237_F|15|Its always different because the corals eat from the algae and if they die because of the cold weather than that probably means the corals are going to die.|bck|7 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03237_F|16|That is my answer.|nd|7 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03240_F|1|Coral bleaching happens at different times.|50|2 - 3 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03240_F|2|For this to happen it depends on certain things.|nd|2 - 3 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03240_F|3|Like for example one certain way is the temperature.|bck|2 - 3 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03240_F|4|I think the temperature is something that really affects the coral bleaching.|50|2 - 3 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03240_F|5|It probably affects it because if it isn?t the right temperature it might die or start changing color.|v3|2 - 3 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03240_F|6|Another think that can cause coral bleaching are the changes in wind.|v1 - 50|2 - 3 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03240_F|7|Changes in wind is also a very important thing that can cause coral bleaching.|v1 - 50|2 - 3 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03240_F|8|It might cause coral bleaching because when the wind changes the temperature will change.|v1 - v3 - 50|2 - 3 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03240_F|9|For example in the text it says ?normal water temperature in these regions is 70-80 degrees F.|bck|2 - 3 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03240_F|10|However, when surface water shift eastward, ocean water temperatures increase by 3-5 degrees F.?|2 - 3|2 - 3 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03240_F|11|So when there are changes in wind the temperature changes.|v1 - v3|2 - 3 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03240_F|12|Like I was saying before if the temperature changes it will also cause coral bleaching.|v3 - 50|2 - 3 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03240_F|13|A lot of stuff can cause coral bleaching.|50|2 - 3 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03240_F|14|That?s why the colors change.|bck|2 - 3 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03240_F|15|I never knew all the stuff that can cause it.|50|2 - 3 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03240_F|16|Some of the stuff are changes in wind, temperatures, and ocean currents.|v1 - 50|2 - 3 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03244_F|1|The rates vary at different times for many reasons.|v50|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03244_F|2|One of the reasons that it varys is which way the trade winds are going. |v1 - v50|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03244_F|3|Also higher water temperature could affect it.|3 - v50|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03244_F|4|Those are my reasons.|nd|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03244_F|5|I saw on the graph the lowest trade winds was the same year as when more than seventy countries reported coral bleaching.|1; 50|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03244_F|6|Trade winds is wind that goes east to west.|bck|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03244_F|7|That changes every couple years.|bck|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03244_F|8|That is how it might affect it.|nd|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03244_F|9|The graph showed in 1998 the higher the water temperature the higher the coral bleaching.|3 - 50|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03244_F|10|Those are my thoughts about coral bleaching.|50|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03245_F|1|?There are different ways coral bleaching rates vary at different times.|50|NA
EBA1_PRE_CB_Sarb_6_317_Essays_03245_F|2|First coral bleaching is something that ?give the corals their colors.?|50|NA
EBA1_PRE_CB_Sarb_6_317_Essays_03245_F|3|?Some coral have lost their color and have been bleached plain white.?|50|NA
EBA1_PRE_CB_Sarb_6_317_Essays_03245_F|4|For me coral bleaching mainly means losing the color.|50|NA
EBA1_PRE_CB_Sarb_6_317_Essays_03245_F|5|That is what coral bleaching means./|50|NA
EBA1_PRE_CB_Sarb_6_317_Essays_03245_F|6|Coral bleaching changes by its color.|50|NA
EBA1_PRE_CB_Sarb_6_317_Essays_03245_F|7|The author said that the coral bleaching changes.|50|NA
EBA1_PRE_CB_Sarb_6_317_Essays_03245_F|8|The bleaching changes a lot or less throughout the years.|bck|NA
EBA1_PRE_CB_Sarb_6_317_Essays_03245_F|9|The biggest coral bleaching was on the yearl of 1998.||NA
EBA1_PRE_CB_Sarb_6_317_Essays_03245_F|10|In each year on the graph there are different things.|bck|NA
EBA1_PRE_CB_Sarb_6_317_Essays_03245_F|11|The author said that people ?often mistake for a rock or a plant.?|bck|NA
EBA1_PRE_CB_Sarb_6_317_Essays_03245_F|12|?Coral is mainly made up from tiny animals called polyps.?|bck|NA
EBA1_PRE_CB_Sarb_6_317_Essays_03245_F|13|In my opinion I am amazed that animals make coral.|bck|NA
EBA1_PRE_CB_Sarb_6_317_Essays_03245_F|14|I wondered how tiny little animals do the coral.|bck|NA
EBA1_PRE_CB_Sarb_6_317_Essays_03247_F|1|Coral bleaching rates vary at different times depending on how much algae are their.|v7 - 50|NA
EBA1_PRE_CB_Sarb_6_317_Essays_03247_F|2|The reason the corals need algae is because they prey on algae.|nd|NA
EBA1_PRE_CB_Sarb_6_317_Essays_03247_F|3|If they don?t get algae it leads the coral to have discoloration and they turn white.|50|NA
EBA1_PRE_CB_Sarb_6_317_Essays_03247_F|4|The problem is the algae is not always there.|nd|NA
EBA1_PRE_CB_Sarb_6_317_Essays_03247_F|5|This is because winds blow it east to west.|bck|NA
EBA1_PRE_CB_Sarb_6_317_Essays_03247_F|6|Also, water levels increase to about several inches to a foot.|bck|NA
EBA1_PRE_CB_Sarb_6_317_Essays_03247_F|7|There is no certain routine for when this happens so it happens at very different times.|bck|NA
EBA1_PRE_CB_Sarb_6_317_Essays_03252_F|1|?Coral bleaching happens when the coral has no algae or sugar.|7 - 50|7 - 50; 3 - 4 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03252_F|2|Then it becomes bleached white.|bck|7 - 50; 3 - 4 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03252_F|3|This can cause death.|bck|7 - 50; 3 - 4 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03252_F|4|It can spread across the coral reef and destroy the coral reef./|bck|7 - 50; 3 - 4 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03252_F|5|It happens at different rates and times.|50|7 - 50; 3 - 4 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03252_F|6|Why?|nd|7 - 50; 3 - 4 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03252_F|7|Because when the water temperature increases the carbon dioxide in the water decreases and very little carbon dioxide and it ruins the balance that corals need to be healthy.|3 - 4 - 50|7 - 50; 3 - 4 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03252_F|8|Then when the coral runs out of it algae and starts to bleach and dies slowly it does not get it?s nutrients and bleaches.|7; 50|7 - 50; 3 - 4 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03252_F|9|The rates change because at different times because the water temperature changes and the coral can?t produce food or things that the need healthy and alive.|v3 - v50|7 - 50; 3 - 4 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03252_F|10|Also the wind affects the water and food change since the coral is sensitive on temperatures and can?t produce any food.|v1|7 - 50; 3 - 4 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03252_F|11|So that?s it that?s my answer.|nd|7 - 50; 3 - 4 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03252_F|12|Hopefully that answers your question.|nd|7 - 50; 3 - 4 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03257_F|1|?Coral bleaching rate vary at different times.|50|1 - 50; 4 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03257_F|2| It happen mostly in the Pacific Ocean.|bck|1 - 50; 4 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03257_F|3| Coral bleaching happen when it was 1998.|50|1 - 50; 4 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03257_F|4| It happen because the wind change.|v1 - 50|1 - 50; 4 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03257_F|5|The temperatures changes|v3|1 - 50; 4 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03257_F|6| Coral bleaching is one example of how environmental stressors can negatively affect relationships with the coral and their algae.|50|1 - 50; 4 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03257_F|7|They happen on different times because the wind and water temperature.|v1; v3|1 - 50; 4 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03257_F|8|Because some winds are weak.|1|1 - 50; 4 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03257_F|9|And some water temperature is higher.|3|1 - 50; 4 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03257_F|10|The coral can survive damage from some destructive.|bck|1 - 50; 4 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03257_F|11|It?s bleaching because it does not get carbon dioxide and water to make sugar and release oxygen.|4 - v50|1 - 50; 4 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03257_F|12|So if it does not have that it turns white.||1 - 50; 4 - 50
EBA1_PRE_CB_Sarb_6_321_essay_03300_F|1|Coral bleaching rates vary at different times because it gets lesser.|50|NA
EBA1_PRE_CB_Sarb_6_321_essay_03300_F|2|Coral bleaching rates are really different because they change on a different time. Also on both they are different graphs.|50|NA
EBA1_PRE_CB_Sarb_6_321_essay_03300_F|3|They change on the year.|nd|NA
EBA1_PRE_CB_Sarb_6_321_essay_03300_F|4|One gets by decimal points and one by a line graph.|nd|NA
EBA1_PRE_CB_Sarb_6_321_essay_03300_F|5|It changes by one year.|nd|NA
EBA1_PRE_CB_Sarb_6_321_essay_03300_F|6|The author shows on the two graphs.|nd|NA
EBA1_PRE_CB_Sarb_6_321_essay_03300_F|7|It wins the first graph by guest one year, to the other graph.|nd|NA
EBA1_PRE_CB_Sarb_6_321_essay_03300_F|8| Coral bleaching rates vary at different times.|50|NA
EBA1_PRE_CB_Sarb_6_321_essay_03300_F|9|How I found in my answer would by showing in the graphs.|nd|NA
EBA1_PRE_CB_Sarb_6_321_essay_03300_F|10|I had never seen how or what is coral bleaching?|nd|NA
EBA1_PRE_CB_Sarb_6_321_essay_03300_F|11|But yes they do rates vary at different times.|nd|NA
EBA1_PRE_CB_Sarb_6_321_essay_03300_F|12|The graph are seen differently on the graphs.|nd|NA
EBA1_PRE_CB_Sarb_6_321_essay_03300_F|13|It has the picture different and had seen different to.|nd|NA
EBA1_PRE_CB_Sarb_6_321_essay_03300_F|14|Also it says that the coral bleaching has stared at 1998.|50|NA
EBA1_PRE_CB_Sarb_6_321_essay_03300_F|15|Coral bleaching rates vary at different times.||NA
EBA1_PRE_CB_Sarb_6_321_essay_03302_F|1|Here I will be explaining why coral bleaching rates vary at different times.|50|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_essay_03302_F|2| I will explaining how coral bleaching happen at different times.|50|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_essay_03302_F|3| I will be using specific information on why it happens at different times.|nd|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_essay_03302_F|4|One reason was because of weaker trade winds.|1|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_essay_03302_F|5|In the trade winds and coral bleaching page is a group where there?s weaker trade winds more reports happen (in the graph beneath).|v1; 1; 50|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_essay_03302_F|6|So this showed me the weaker the trade winds the more coral bleaching.|1-50|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_essay_03302_F|7|So coral bleaching happens most when there is weaker trade winds.|1-50|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_essay_03302_F|8|Another reason for coral bleaching is the high water temperature.|3; 50|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_essay_03302_F|9|You can see in 1998 the water temp was at its peak so that?s why there was so many coral bleaching reports.||1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_essay_03302_F|10|So this showed me in higher water temps there is more coral bleaching.|3-50|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_essay_03302_F|11|In conclusion I think I learned a lot from this!|nd|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_essay_03302_F|12|The main things that make coral bleaching happen is weaker trade winds and higher water temps.|1-50; 3-50|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_essay_03302_F|13|These were the two things that cause coral bleaching.||1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_Essays_03301_F|1|?It?s different because in the beginning it said theres different kind of algae and that gives it its color.|bck|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_Essays_03301_F|2|?However, some coral have lost their color and been bleached a plain white.?|bck|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_Essays_03301_F|3|That means the aglae helps it gets its color but some have lost there color that?s why there called ?coral bleaching.?|50|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_Essays_03301_F|4|Coral bleach its in the Pacific Ocean and it covers 1/3 of it./ Zooxanthallae and coral bleach are almost the same.|bck|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_Essays_03301_F|5|Coral bleaching has different rates because if weaker trade winds and higher water temps the coral bleaching get a higher rating.|1 - 50; 3 - 50|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_Essays_03301_F|6|If only the the water temps is high it will have less coral bleaching.|3 |1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_Essays_03301_F|7|Those 2 things which is trade winds and water temps they both need to be high to get a better rating.|v1; v3|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_Essays_03301_F|8|When there both have high rates they have more coral.|bck|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_Essays_03303_F|1|?How coral bleaching rates vary at different times is because of the temperature.|50|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03303_F|2|The temperature is supposed to be 70-85 degrees F.|bck|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03303_F|3|If it is not the coral could die.|bck|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03303_F|4|They also need a lot of algae to survive.|bck|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03303_F|5|If they don?t they will bleach.|bck|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03303_F|6|They die because of the temperature if the sun is not out they die.|nd|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03303_F|7|Also the sun provides heat.|nd|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03303_F|8|How the coral bleaching rates vary is the fisherman when they come they spill oil and the coral die.|nd|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03303_F|9|Also they drop anchors on the coral.|bck|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03303_F|10|Also if they walk on the reefs.|bck|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03303_F|11|The coral needs algae to make photosynthesis.|bck|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03303_F|12|When scuba the boats come by they might hit a reef and explode which damages the reef a lot.|nd|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03305_F|1|?Coral bleaching happens in different times for many reasons.|50|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03305_F|2|To start of a coral gets its color from the algeas sugar.|bck|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03305_F|3|But when it doesn?t get enough sugar, it loses color and that?s coral bleaching.|50|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03305_F|4|This can happen at different rates.|bck|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03305_F|5|For example the algea needs to go through photosynthesis to get sugar for the corals.|bck|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03305_F|6|But certain years may not have enough sun light.|nd|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03305_F|7|For example one year can have a lot of sun light.|nd|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03305_F|8|That means the algea will make some sugar for the coral reefs.|bck|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03305_F|9|But other years may not have sun light it could be cloudy all the time.|nd|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03305_F|10|The algea won?t make sugar and the corals won?t get its nutrients and will go through coral bleaching.|50|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03308_F|1|?Well why coral bleaching rates vary at different times is because that the winds move.|v1 - 50|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03308_F|2|Sometimes the winds move to warm surfaces and sometimes to cold surfaces water.|bck|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03308_F|3|Sometimes the water can be colder and sometimes can be warmer or hotter.|bck|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03308_F|4|Some of these corals eat sugars made by algae that live in the coral polyps.|bck|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03308_F|5|The algae create sugars from sunlight by the process of photosynthesis.|bck|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03308_F|6|The process requires both carbon dioxide and water to make sugars and release oxygen.|bck|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03308_F|7|And different types of algae living withen the coral polyps and they give there colors to the corals.|bck|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03308_F|8|The corals live in the water in the ocean.|bck|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03308_F|9|Some corals can survive at some dangoars destructive things like for example anchors, or walking on a reef.|bck|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03308_F|10|But what kills a coral reef is coral bleaching because coral reefs don?t like coral bleaching and it kills them.|50|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03308_F|11|So corals don?t like coral bleaching.|50|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03310_F|1|The rates of coral bleaching vary at different times because of the water temperature and trade wind strength.|v1 - 50; v3 - 50|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_Essays_03310_F|2|Also how well by the weaker trade winds and higher temperatures.|1; v3|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_Essays_03310_F|3|You see if you read the things I read.|nd|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_Essays_03310_F|4|You would understand I got my evidence from the fourth page.|nd|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_Essays_03310_F|5|If you where to put it in order like I got it.|nd|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_Essays_03310_F|6|It explains how and also why the coral bleaching rates vary at different times.|50|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_Essays_03310_F|7|If you look at the fourth page.|nd|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_Essays_03310_F|8|You can see those graphs.|nd|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_Essays_03310_F|9|They are explaining the changes in trade winds and the water temperature.|v1; v3|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_Essays_03310_F|10|So it sort explains the whole idea.|nd|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_Essays_03310_F|11|If you can look closely the lines change.|nd|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_Essays_03310_F|12|Also everytime the lines change the coral bleaching changes.|50|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_Essays_03310_F|13|So the changing of water temperature and trade wind strengths affects the coral bleaching.|v1 - 50; v3 - 50|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_Essays_03310_F|14|In conclusion the way the trade winds strength and the water temperature changes the coral bleaching when the tradewinds are weak and the water temperatures go up or increase.|1 - 50; 3 - 50|1 - 50; 3 - 50
EBA1_PRE_CB_Sarb_6_321_Essays_03311_F|1|Why and how coral bleaching is different at different times is probably due to the lack of population (I?ll explain) and probably because of how cautious people are or where back then.|50|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03311_F|2|I got this info because its logical and possible.|nd|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03311_F|3|Some people can be lazy sometimes that can cause coral bleaching, going along with cautiousness.|50|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03311_F|4|So I will explain my answers to this prompt.|nd|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03311_F|5|Also temperature.|bck|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03311_F|6|So one of my responses was because of the lack of population.|nd|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03311_F|7|The reason being is because I had the thought of more fisherman or people that ride over reefs which could kill or damage coral.|nd|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03311_F|8|I got this because it?s possible.|nd|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03311_F|9|More people I think will slightly to increase more fisherman and boats witch could cause coral bleaching.|50|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03311_F|10|So this is why I think so.|nd|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03311_F|11|Population can be one of the many causes.|nd|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03311_F|12|Another one is people being non cautious about this situation.|nd|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03311_F|13|Why is because the world is so cruel and many people can harm coral?s colors without knowing it.|nd|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03311_F|14|This is harmful to these and we want to preserve.|nd|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03311_F|15|So this is why.|nd|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03311_F|16|The text uses fishermen.|bck|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03311_F|17|And I think fisherman is one cause.|bck|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03311_F|18|Well because this is man and humans are not perfect.|nd|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03311_F|19|The other reason of temperature is because the water can swell.|bck|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03311_F|20|As well as shifting trade winds.|v1|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03311_F|21|So this is sort of killing some coral.|bck|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03311_F|22|The text states ?as temperatures increase, the water swells.?|v3|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03311_F|23|This is a natural weather cause.|bck|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03311_F|24|In conclusion, these are the reasons why coral bleaching occurs frequent over time.|50|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03311_F|25|This is how and why some of the events such as temperature and population.|nd|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03311_F|26|As well as being cautious.|nd|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03312_F|1|Coral bleaching rates vary at different times because coral loses their color and start to bleach.|50|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03312_F|2|This is when it is called coral bleaching.|50|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03312_F|3|The bleaching is do to the time on how old they are.|v50|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03312_F|4|The process of bleaching requires both carbon dioxide and water to make sugars and release oxygen also called bleaching.|v50|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03312_F|5|Coral bleaching is when a coral its losing its colors.|50|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03312_F|6|The bleaching of a coral it is sad to watch.|v50|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03313_F|1|?Coral bleaching rates vary at different times because it depends how fast the wind is going.|v1 - 50|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03313_F|2|For example it is fall and strong winds happen.|nd|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03313_F|3|When its winter = more air and temperatures in water go higher.|3|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03313_F|4|It depends in wind and temperature.|bck|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03313_F|5|Wind goes lower water goes higher.|v1; v3|NA
EBA1_PRE_CB_Sarb_6_321_Essays_03313_F|6|Winds go up and water goes down.|nd|NA
EBA1_PRE_CB_Sarna_9_5_essay_03339_F|1|?The way that coral bleaching rates vary at different times is by, the way that, it has been discovered many different types of corals living in the ocean.|50|NA
EBA1_PRE_CB_Sarna_9_5_essay_03339_F|2|They are vary at different times because in the text it states that the invertebrate animals live together in colonies.|bck|NA
EBA1_PRE_CB_Sarna_9_5_essay_03339_F|3|They can vary at different times because of the shifting trade winds, too, depending how the wind is going and to what direction.|v1 - 50|NA
EBA1_PRE_CB_Sarna_9_5_essay_03339_F|4|Another thing is that in the text it says that, coral bleaching is one example of how environmental stresses can negatively affect the relationship between the coral and environment, so I think that this is another reason of why coral bleaching rates vary at different times.|50|NA
EBA1_PRE_CB_Sarna_9_5_essay_03342_F|1|Coral bleaching can vary over different periods of times because there are many different factors that contribute to the bleach.|50|7 - 50
EBA1_PRE_CB_Sarna_9_5_essay_03342_F|2|There can be tempature change, accident spilles, anchor drops, people walking, climate change, and hot and cold wings.|v3|7 - 50
EBA1_PRE_CB_Sarna_9_5_essay_03342_F|3|All of these things can contribute of the murder of thousands of zooxanthallae which is a major organism that helps the coral polups survive.|v3 - 7|7 - 50
EBA1_PRE_CB_Sarna_9_5_essay_03342_F|4| Without them the coral will keep losing its coler and are so thats it its why zooxanthallae is a mahor thing to be kept alive and surviving.|7-50|7 - 50
EBA1_PRE_CB_Sarna_9_5_essay_03342_F|5|That is why coral bleaching rates differently ever time.|50|7 - 50
EBA1_PRE_CB_Sarna_9_5_essay_03348_F|1|The Coral Bleaching is important in different ways.|50|NA
EBA1_PRE_CB_Sarna_9_5_essay_03348_F|2|For example the Coral Bleaching affects the Pacific ocean.|50|NA
EBA1_PRE_CB_Sarna_9_5_essay_03348_F|3|The ocean covers about 1/3 of the surface of the entire globe, and contains double the amount of water found in the Atlantic ocean.|bck|NA
EBA1_PRE_CB_Sarna_9_5_essay_03348_F|4|The different types of algae living within the coral polyps give the corals their varying colors.|bck|NA
EBA1_PRE_CB_Sarna_9_5_essay_03348_F|5|Some coral have been bleached a plain white.|50|NA
EBA1_PRE_CB_Sarna_9_5_essay_03348_F|6|Of course the coral bleaching is a phenomenon in which coral loses it color.|50|NA
EBA1_PRE_CB_Sarna_9_5_essay_03348_F|7|But even events leading to coral bleaching are an a series problem with a serious impact on the world?s coral reefs.|50|NA
EBA1_PRE_CB_Sarna_9_5_essay_03348_F|8|Of course coral is often mistaken for a rock or plant.|nd|NA
